org_id	latin_name	ncbi_id
TAX-164113	Citrus x microcarpa	164113
TAX-1643678	Nitrososphaeria	1643678
TAX-1644055	Haloferacales	1644055
TAX-1644056	Haloferacaceae	1644056
TAX-1647999	Anthistiriinae	1647999
TAX-1648009	Coicinae	1648009
TAX-1648017	Hordeinae	1648017
TAX-1648021	Oryzinae	1648021
TAX-1648025	Rottboelliinae	1648025
TAX-1648026	Saccharinae	1648026
TAX-1648028	Sorghinae	1648028
TAX-1648029	Tripsacinae	1648029
TAX-1648030	Triticinae	1648030
TAX-1648033	Andropogonodae	1648033
TAX-1648036	Panicodae	1648036
TAX-1648037	Poodae	1648037
TAX-1648038	Triticodae	1648038
TAX-1648043	Molinieae	1648043
TAX-1649845	Yersinia pseudotuberculosis complex	1649845
TAX-165200	Actinidia eriantha	165200
TAX-1652080	Poeae Chloroplast Group 1 (Aveneae type)	1652080
TAX-1652081	Poeae Chloroplast Group 2 (Poeae type)	1652081
TAX-1653	Corynebacteriaceae	1653
TAX-1653176	Cereibacter	1653176
TAX-1654067	Pantoea agglomerans group	1654067
TAX-165602	Allium altyncolicum	165602
TAX-165696	Novosphingobium	165696
TAX-165808	Cystofilobasidiaceae	165808
TAX-1663	Arthrobacter	1663
TAX-1665	Arthrobacter globiformis	1665
TAX-16667	Theophrastaceae	16667
TAX-166935	Pseudoalteromonas translucida	166935
TAX-1670	Arthrobacter citreus	1670
TAX-1671	Pseudarthrobacter oxydans	1671
TAX-16714	Juglandaceae	16714
TAX-16718	Juglans	16718
TAX-1672	Arthrobacter ramosus	1672
TAX-16736	Piperales	16736
TAX-16739	Piperaceae	16739
TAX-167484	Asclepiadoideae	167484
TAX-167487	Rauvolfioideae	167487
TAX-167488	Asclepiadeae	167488
TAX-167498	Vinceae	167498
TAX-1676	Pseudarthrobacter polychromogenes	1676
TAX-1678	Bifidobacterium	1678
TAX-1679449	Pseudooceanicola	1679449
TAX-16896	Alangium	16896
TAX-16921	Camptotheca	16921
TAX-16922	Camptotheca acuminata	16922
TAX-1696	Brevibacterium	1696
TAX-169617	Rubioideae	169617
TAX-169618	Ixoroideae	169618
TAX-169619	Cinchonoideae	169619
TAX-169625	Cinchoneae	169625
TAX-169640	Coffeeae	169640
TAX-169642	Gardenieae	169642
TAX-169656	Ophiorrhizeae	169656
TAX-169660	Rubieae	169660
TAX-169679	Clostridium saccharobutylicum	169679
TAX-1697	Corynebacterium ammoniagenes	1697
TAX-1699513	Myrtoideae	1699513
TAX-1699522	Syzygieae	1699522
TAX-1699524	Eucalypteae	1699524
TAX-1705	Corynebacterium stationis	1705
TAX-1707	Cellulomonas	1707
TAX-1708	Cellulomonas fimi	1708
TAX-1709	Cellulomonas biazotea	1709
TAX-1710	Cellulosimicrobium cellulans	1710
TAX-1711	Cellulomonas flavigena	1711
TAX-1713	Oerskovia turbata	1713
TAX-171549	Bacteroidales	171549
TAX-171551	Porphyromonadaceae	171551
TAX-1716	Corynebacterium	1716
TAX-171627	Fusarium fujikuroi species complex	171627
TAX-171636	Amygdaloideae	171636
TAX-171637	Amygdaloideae	171637
TAX-171638	Rosoideae	171638
TAX-1717	Corynebacterium diphtheriae	1717
TAX-171760	Barnadesia spinosa	171760
TAX-1718	Corynebacterium glutamicum	1718
TAX-1720	Corynebacterium sp.	1720
TAX-172057	Centaurium erythraea	172057
TAX-1721	Corynebacterium callunae	1721
TAX-1727	Corynebacterium variabile	1727
TAX-1728959	Aurantioideae	1728959
TAX-1728961	Rutoideae	1728961
TAX-1729789	Vanilleae	1729789
TAX-1737404	Tissierellia	1737404
TAX-1737405	Tissierellales	1737405
TAX-1742989	Glutamicibacter	1742989
TAX-1742992	Paenarthrobacter	1742992
TAX-1742993	Pseudarthrobacter	1742993
TAX-1743	Propionibacterium	1743
TAX-1744	Propionibacterium freudenreichii	1744
TAX-1747	Cutibacterium acnes	1747
TAX-1748	Acidipropionibacterium acidipropionici	1748
TAX-1752	Propionibacterium freudenreichii	1752
TAX-175767	Typhonium	175767
TAX-1758100	Impatiens subgen. Impatiens	1758100
TAX-1758108	Impatiens sect. Uniflorae	1758108
TAX-1760	Actinomycetes	1760
TAX-1762	Mycobacteriaceae	1762
TAX-1763	Mycobacterium	1763
TAX-1764	Mycobacterium avium	1764
TAX-1765	Mycobacterium tuberculosis variant bovis	1765
TAX-1766	Mycolicibacterium fortuitum	1766
TAX-1767	Mycobacterium intracellulare	1767
TAX-1768	Mycobacterium kansasii	1768
TAX-1769	Mycobacterium leprae	1769
TAX-1769247	Fomitopsidaceae	1769247
TAX-1770	Mycobacterium avium	1770
TAX-1771	Mycolicibacterium phlei	1771
TAX-1772	Mycolicibacterium smegmatis	1772
TAX-1773	Mycobacterium tuberculosis	1773
TAX-177416	Francisella tularensis	177416
TAX-178174	Syzygium	178174
TAX-1783257	PVC group	1783257
TAX-1783270	FCB group	1783270
TAX-1783272	Terrabacteria group	1783272
TAX-1783275	TACK group	1783275
TAX-1798711	Cyanobacteriota/Melainabacteria group	1798711
TAX-1799696	Sporidiobolaceae	1799696
TAX-18	Pelobacter	18
TAX-1802	Mycolicibacterium farcinogenes	1802
TAX-1802790	Icacinales	1802790
TAX-1803517	Microteaceae	1803517
TAX-1803519	Mesembryanthemum subgen. Cryophytum	1803519
TAX-1804621	Betoideae	1804621
TAX-1804623	Chenopodiaceae	1804623
TAX-180675	Salvia splendens	180675
TAX-180763	Vaccinium myrtillus	180763
TAX-18101	Gerbera hybrid cultivar	18101
TAX-181550	Trichomonadidae	181550
TAX-182070	Saxifraga stolonifera	182070
TAX-1827	Rhodococcus <high G+C Gram-positive bacteria>	1827
TAX-183097	Wedelia	183097
TAX-1831	Rhodococcus sp. (in: high G+C Gram-positive bacteria)	1831
TAX-1835	Saccharopolyspora	1835
TAX-1836	Saccharopolyspora erythraea	1836
TAX-183823	Eucalyptus falcata	183823
TAX-183924	Thermoprotei	183924
TAX-183925	Methanobacteria	183925
TAX-183939	Methanococci	183939
TAX-183963	Halobacteria	183963
TAX-183967	Thermoplasmata	183967
TAX-183968	Thermococci	183968
TAX-183980	Archaeoglobi	183980
TAX-183988	Methanopyri	183988
TAX-1843489	Veillonellales	1843489
TAX-1843491	Selenomonadaceae	1843491
TAX-1849	Actinopolyspora	1849
TAX-184914	Corallococcus coralloides	184914
TAX-1850	Actinopolyspora halophila	1850
TAX-1851551	Mrakiaceae	1851551
TAX-1851554	Xanthophyllomyces	1851554
TAX-1852274	Streptomyces albus group	1852274
TAX-1853230	Crocinitomicaceae	1853230
TAX-1853231	Odoribacteraceae	1853231
TAX-186125	Fomitopsis palustris	186125
TAX-1862	Dermatophilus	1862
TAX-186265	Cactoideae	186265
TAX-186275	Echinocereeae	186275
TAX-186285	Drosophiliti	186285
TAX-1863	Dermatophilus congolensis	1863
TAX-186328	Entomoplasmatales	186328
TAX-186623	Actinopteri	186623
TAX-186624	Elopocephala	186624
TAX-186625	Clupeocephala	186625
TAX-186626	Otophysi	186626
TAX-186627	Cypriniphysae	186627
TAX-186634	Otomorpha	186634
TAX-1866885	Mycolicibacterium	1866885
