org_id	scientific_name	ncbi_taxon_id	in_proteins_dat	n_proteins	protein_ids	in_compounds_dat	n_compounds	compound_ids	n_genes	gene_ids	n_pathways_source	pathway_ids_source	in_gpml	gpml_as_geneproduct	gpml_as_protein	gpml_as_metabolite	n_gpml_geneproduct_nodes	n_gpml_protein_nodes	n_gpml_metabolite_nodes	n_gpml_pathway_files	gpml_name_form
TAX-3708	Brassica napus	3708	yes	15	CPLX-5402; CPLX-5403; CPLX-7647; MONOMER-10721; MONOMER-11865 (... 15 total)	no	0		5	G-10792; G-5883; G-5925; G-5961; G-8321	14	GLYCOLYSIS; PWY-1042; PWY-2821; PWY-3301; PWY-3385 (... 14 total)	yes	yes	yes	no	10	20	0	17	resolved_name
TAX-3710	Brassica nigra	3710	yes	3	CPLX-2142; MONOMER-2441; MONOMER-2442	no	0		0		1	PWY-1042	yes	no	yes	no	0	2	0	2	resolved_name
TAX-36774	Brassica oleracea	36774	yes	2	MONOMER-15249; MONOMER-15250	no	0		2	G-11674; G-11675	3	PWY-6931; PWY-6933; PWY-6935	yes	yes	yes	no	8	17	0	9	resolved_name
TAX-3712	Brassica oleracea	3712	yes	6	MONOMER-16280; MONOMER-16290; MONOMER-16292; MONOMER-16293; MONOMER-16294 (... 6 total)	no	0		2	G-12571; G-12573	3	PWY-6730; PWY-6736; PWY-6842	yes	yes	yes	no	8	17	0	9	resolved_name
TAX-3715	Brassica oleracea	3715	yes	3	CPLX-7200; MONOMER-12643; MONOMER-2307	no	0		1	G-9705	2	HISTSYN-PWY; PWY-882	yes	yes	yes	no	8	17	0	9	resolved_name
TAX-3711	Brassica rapa	3711	yes	3	CPLX-7222; MONOMER-12703; MONOMER-5101	no	0		0		5	GLYCOLYSIS; PWY-1042; PWY-2261; PWY-5484; PWY-5723	yes	no	yes	no	0	7	0	7	resolved_name
TAX-15371	Bromus inermis	15371	yes	1	MONOMER-19210	no	0		0		1	PWY-7642	yes	no	yes	no	0	1	0	1	resolved_name
TAX-39984	Bruguiera gymnorhiza	39984	yes	2	MONOMER-14451; MONOMER-14452	no	0		2	G-11027; G-11028	8	PWY-112; PWY-5203; PWY-5672; PWY-6109; PWY-6115 (... 8 total)	yes	yes	yes	no	10	10	0	9	resolved_name
TAX-41496	Calendula officinalis	41496	yes	3	MONOMER-12601; MONOMER-12603; MONOMER-13651	no	0		2	G-9672; G-9674	2	PWY-5373; PWY-5756	yes	yes	yes	no	2	3	0	2	resolved_name
TAX-261999	Camellia sinensis	261999	yes	1	MONOMER-17692	no	0		0		1	PWY-7114	yes	yes	yes	no	7	26	0	13	resolved_name
TAX-4442	Camellia sinensis	4442	yes	13	CPLX-8827; CPLX-8828; MONOMER-11672; MONOMER-11679; MONOMER-11680 (... 13 total)	no	0		4	G-44169; G-44170; G-44576; G-9085	8	PWY-5037; PWY-5038; PWY-5039; PWY-6606; PWY-6607 (... 8 total)	yes	yes	yes	no	7	26	0	13	resolved_name
TAX-542762	Camellia sinensis	542762	yes	2	MONOMER-17687; MONOMER-17690	no	0		1	G-15387	1	PWY-7114	yes	yes	yes	no	7	26	0	13	resolved_name
TAX-16922	Camptotheca acuminata	16922	yes	4	CACGENE01417.T1; CACGENE12278.T1; MONOMER-15093; MONOMER-15094	no	0		4	CACGENE01417; CACGENE12278; G-11529; G-11530	5	PWY-3181; PWY-5290; PWY-5473; PWY-581; PWY-5877	yes	yes	yes	no	12	12	0	6	resolved_name
TAX-3823	Canavalia ensiformis	3823	yes	3	CPLX-6909; MONOMER-11543; MONOMER-11581	no	0		0		1	PWY-31	yes	no	yes	no	0	1	0	1	resolved_name
TAX-28957	Canavalia lineata	28957	yes	4	CPLX-32; MONOMER-31; MONOMER-46; MONOMER-49	no	0		0		1	PWY-5	yes	no	yes	no	0	3	0	1	resolved_name
