genus	species	short_name	symbol	ncbi
Impatiens	balsamina	Impatiens balsamina	Ib	63779
Ipomoea	batatas	Ipomoea batatas	Ipb	4120
Ipomoea	nil	Ipomoea nil	In	35883
Ipomoea	purpurea	Ipomoea purpurea	Ipp	4121
Iridaceae		Iridaceae		26339
Jacquinia	angustifolia	Jacquinia angustifolia	Ja	85894
Juglandaceae		Juglandaceae		16714
Juglans	regia	Juglans regia	Jr	51240
Kandelia	candel	Kandelia candel	Kc	61147
Klebsiella	oxytoca	Klebsiella oxytoca	Ko	571
Klebsiella	pneumoniae	Klebsiella pneumoniae	Kp	573
Lachancea		Lachancea		300275
Lacticaseibacillus	casei	Lacticaseibacillus casei	Lc	1582
Lactococcus	lactis	Lactococcus lactis	Ll	1358
Lactuca	sativa	Lactuca sativa	Ls	4236
Lactuca	sativa	Lactuca sativa romaine	Las	4236
Lamiaceae		Lamiaceae		4136
Lamiales		Lamiales		4143
lamiids		lamiids		91888
Lamium	galeobdolon	Lamium galeobdolon	Lg	53161
Lampranthus	sociorum	Lampranthus sociorum	Ls2	188838
Lathyrus	odoratus	Lathyrus odoratus	Lo	3859
Lathyrus	tingitanus	Lathyrus tingitanus	Lt	3862
Lavandula	angustifolia	Lavandula angustifolia	Laa	39329
Lawsonia	inermis	Lawsonia inermis	Li	141191
Lecanora		Lecanora		39934
Lecanorales		Lecanorales		5197
Lemna	aequinoctialis	Lemna aequinoctialis	Lea	89585
Lemna	minor	Lemna minor	Lm	4472
Lens	culinaris	Lens culinaris	Lec	3864
Lepidium	sativum	Lepidium sativum	Les	33125
Leucaena	leucocephala	Leucaena leucocephala	Lel	3866
Lilium	longiflorum	Lilium longiflorum	Lil	4690
Limnanthes	alba	Limnanthes alba	Lia	42439
Limnanthes	douglasii	Limnanthes douglasii	Ld	28973
Limonium	latifolium	Limonium latifolium	Ll2	227291
Linaceae		Linaceae		4004
Linum		Linum		4005
Linum	flavum	Linum flavum	Lf	407263
Linum	nodiflorum	Linum nodiflorum	Ln	407264
Linum	perenne	Linum perenne	Lp	35941
Linum	usitatissimum	Linum usitatissimum	Lu	4006
Lithospermum	erythrorhizon	Lithospermum erythrorhizon	Le	34254
Loganiaceae		Loganiaceae		26468
Lotus	corniculatus	Lotus corniculatus	Loc	47247
Lotus	japonicus	Lotus japonicus	Lj	34305
Loxodonta	africana	Elephant	La	9785
Lunaria	annua	Lunaria annua	Lua	153659
Lupinus	albus	Lupinus albus	La2	3870
Lupinus	angustifolius	Lupinus angustifolius	La3	3871
Lupinus	luteus	Lupinus luteus	Lul	3873
Lupinus	polyphyllus	Lupinus polyphyllus	Lup	3874
Lupinus	termis	Lupinus termis	Lut	3869
Lycopersicon	hirsutum	Lycopersicon hirsutum	Lh	283673
Lygodium	circinatum	Lygodium circinatum	Lyc	84615
Macaca	mulatta	Rhesus Monkey	Ml	9544
Magnolia		Magnolia		3402
Magnolia	grandiflora	Magnolia grandiflora	Mg	3406
Magnolia	obovata	Magnolia obovata	Mo	349509
Magnoliaceae		Magnoliaceae		3401
Magnoliopsida		Magnoliopsida		3398
Malus	domestica	Malus domestica	Mad	3750
Malus	hupehensis	Malus hupehensis	Mh	106556
Malus	pumila	Malus pumila	Mp	283210
Malus	sp.	Malus sp.	Ms	3751
Malvaceae		Malvaceae		3629
Mammalia		Mammalia		40674
Manihot	esculenta	Manihot esculenta	Me	510188
Matthiola	incana	Matthiola incana	Mi	3724
Medicago	sativa	Medicago sativa	Mes	3879
Medicago	truncatula	Medicago truncatula	Mt	3880
Megathyrsus	maximus	Megathyrsus maximus	Mem	59788
Melilotus	albus	Melilotus albus	Ma	47082
Menispermaceae		Menispermaceae		3455
Mentha	aquatica	Mentha aquatica	Mea	650269
Mentha	spicata	Mentha spicata	Ms2	29719
Mentha	x	Mentha x gracilis	Mex	241069
Mentha	x	Mentha x piperita	Mx2	34256
Mesembryanthemum	crystallinum	Mesembryanthemum crystallinum	Mc	3544
Metazoa		Metazoa		33208
Methanobacteria		Methanobacteria		183925
Methanocaldococcus	jannaschii	Methanocaldococcus jannaschii	Mj	2190
Methanosarcina	mazei	Methanosarcina mazei	Mm2	2209
Methanosarcina	thermophila	Methanosarcina thermophila	Met	2210
Methanothermobacter	marburgensis	Methanothermobacter marburgensis	Mm3	79929
Methyloceanibacter	caenitepidi	Methyloceanibacter caenitepidi	Mec	1384459
Methylococcus	capsulatus	Methylococcus capsulatus	Mc2	414
Methylorubrum	extorquens	Methylorubrum extorquens	Mee	408
Methylosphaera	hansonii	Methylosphaera hansonii	Meh	51353
Micrococcus	luteus	Micrococcus luteus	Mil	1270
Mirabilis	jalapa	Mirabilis jalapa	Mij	3538
Momordica	charantia	Momordica charantia	Moc	3673
Monodelphis	domestica	Opossum	Md	13616
Mus	musculus	Mouse	Mm	10090
Mus	musculus	Mus musculus	Mum	10090
Musa	acuminata	Musa acuminata	Mua	4641
Musaceae		Musaceae		4637
Mycobacterium	avium	Mycobacterium avium complex (MAC)	Mya	120793
Mycobacterium	kansasii	Mycobacterium kansasii	Mk	1768
Mycobacterium	tuberculosis	Mtuberculosis	Mx	1773
Mycobacterium	tuberculosis	Mycobacterium tuberculosis	Myt	83332
Mycolicibacterium	fortuitum	Mycolicibacterium fortuitum	Mf	1766
Mycolicibacterium	phlei	Mycolicibacterium phlei	Myp	1771
Mycoplasmoides	pneumoniae	Mycoplasmoides pneumoniae	Mp2	272634
Myxococcales		Myxococcales		29
Nannocystis	exedens	Nannocystis exedens	Ne	54
Narcissus	aff.	Narcissus aff. pseudonarcissus MK-2014	Na	1540222
Narcissus	pseudonarcissus	Narcissus pseudonarcissus	Np	39639
Nepenthaceae		Nepenthaceae		4374
Nepenthes	alata	Nepenthes alata	Nea	4376
Nepenthes	gracilis	Nepenthes gracilis	Ng	150966
Nepenthes	mirabilis	Nepenthes mirabilis	Nm	150983
Nepenthes	rafflesiana	Nepenthes rafflesiana	Nr	150990
Neptunia		Neptunia		138526
Nerine	bowdenii	Nerine bowdenii	Nb	59042
Neurospora	crassa	Neurospora crassa	Nc	5141
Nicotiana		Nicotiana		4085
Nicotiana	attenuata	Nicotiana attenuata	Nia	49451
Nicotiana	benthamiana	Nicotiana benthamiana	Nib	4100
Nicotiana	glutinosa	Nicotiana glutinosa	Nig	35889
Nicotiana	plumbaginifolia	Nicotiana plumbaginifolia	Nip	4092
Nicotiana	rustica	Nicotiana rustica	Nir	4093
Nicotiana	sylvestris	Nicotiana sylvestris	Ns	4096
Nicotiana	tabacum	Tabacco	Nt	4097
Nicotiana	tabacum	Nicotiana tabacum	Nit	4097
Nitrosopumilus	maritimus	Nitrosopumilus maritimus	Nim	338192
Nothapodytes	nimmoniana	Nothapodytes nimmoniana	Nn	159386
Nyctaginaceae		Nyctaginaceae		3536
Ocimum	basilicum	Ocimum basilicum	Ob	39350
Olea	europaea	Olea europaea	Oe	4146
Ophiorrhiza	japonica	Ophiorrhiza japonica	Oj	367363
Ophiorrhiza	pumila	Ophiorrhiza pumila	Op	157934
Opisthokonta		Opisthokonta		33154
Ornithorhynchus	anatinus	Platypus	Oa	9258
Orthoptera		Orthoptera		6993
Oryctolagus	cuniculus	Rabbit	Oc	9986
Oryza		Oryza		4527
Oryza	sativa	Japanese Rice	Os	4530
Oryza	sativa	Oryza sativa	Ors	4530
Oryzias	latipes	Medaka Fish	Ol	8090
Ostreococcus	sp.	Ostreococcus sp. lucimarinus	Oss	242159
Ovis	aries	sheep	Ova	9940
Oxybasis	rubra	Oxybasis rubra	Or	3560
Pan 	troglodytes	Chimp	Pt	9598
Panax		Panax		4053
Panax	ginseng	Panax ginseng	Pg	4054
Panax	notoginseng	Panax notoginseng	Pn	44586
